Price,Close
Ticker,SPY
Date,
1998-01-02,60.02583694458008
1998-01-05,60.16039276123047
1998-01-06,59.19907760620117
1998-01-07,59.352874755859375
1998-01-08,58.833736419677734
1998-01-09,56.79572677612305
1998-01-12,57.833953857421875
1998-01-13,58.641475677490234
1998-01-14,58.910648345947266
1998-01-15,58.420379638671875
1998-01-16,59.25675582885742
1998-01-20,60.21808624267578
1998-01-21,59.64128494262695
1998-01-22,59.112548828125
1998-01-23,59.026023864746094
1998-01-26,58.987606048583984
1998-01-27,59.583595275878906
1998-01-28,60.12192916870117
1998-01-29,60.44878387451172
1998-01-30,60.487247467041016
1998-02-02,61.487056732177734
1998-02-03,61.94849395751953
1998-02-04,61.871578216552734
1998-02-05,61.833099365234375
1998-02-06,62.5252799987793
1998-02-09,62.313777923583984
1998-02-10,62.909828186035156
1998-02-11,62.85213851928711
1998-02-12,63.121299743652344
1998-02-13,62.75602722167969
1998-02-17,63.06364059448242
1998-02-18,63.640419006347656
1998-02-19,63.30396270751953
1998-02-20,63.77499771118164
1998-02-23,64.02495574951172
1998-02-24,63.525081634521484
1998-02-25,64.31338500976562
1998-02-26,64.67864990234375
1998-02-27,64.67864990234375
1998-03-02,64.54409790039062
1998-03-03,64.90943908691406
1998-03-04,64.48641204833984
1998-03-05,63.890384674072266
1998-03-06,65.17860412597656
1998-03-09,64.9478530883789
1998-03-10,65.5631332397461
1998-03-11,65.87073516845703
1998-03-12,66.13993072509766
1998-03-13,65.88995361328125
1998-03-16,66.60137176513672
1998-03-17,66.79360961914062
1998-03-18,67.0435791015625
1998-03-19,67.21658325195312
1998-03-20,67.79537963867188
1998-03-23,67.64112091064453
1998-03-24,68.21957397460938
1998-03-25,67.96890258789062
1998-03-26,67.93034362792969
1998-03-27,67.64112091064453
1998-03-30,67.60258483886719
1998-03-31,67.83394622802734
1998-04-01,68.38347625732422
1998-04-02,69.1258773803711
1998-04-03,69.47288513183594
1998-04-06,68.91374206542969
1998-04-07,68.45096588134766
1998-04-08,68.06535339355469
1998-04-09,68.6052474975586
1998-04-13,68.41239929199219
1998-04-14,68.99085235595703
1998-04-15,69.18365478515625
1998-04-16,68.37387084960938
1998-04-17,69.28011322021484
1998-04-20,69.26081085205078
1998-04-21,69.58863067626953
1998-04-22,69.78141021728516
1998-04-23,69.10655212402344
1998-04-24,68.37387084960938
1998-04-27,67.08196258544922
1998-04-28,66.98552703857422
1998-04-29,67.44828796386719
1998-04-30,68.70165252685547
1998-05-01,69.47288513183594
1998-05-04,69.29940032958984
1998-05-05,68.81733703613281
1998-05-06,68.00748443603516
1998-05-07,67.46759796142578
1998-05-08,68.56664276123047
1998-05-11,68.33525848388672
1998-05-12,69.06800079345703
1998-05-13,69.24152374267578
1998-05-14,68.89443969726562
1998-05-15,68.50881958007812
1998-05-18,68.23886108398438
1998-05-19,68.70165252685547
1998-05-20,69.35720825195312
1998-05-21,68.91374206542969
1998-05-22,68.643798828125
1998-05-26,67.54467010498047
1998-05-27,67.64112091064453
1998-05-28,67.94962310791016
1998-05-29,67.2747802734375
1998-06-01,67.58329772949219
1998-06-02,67.64112091064453
1998-06-03,66.56132507324219
1998-06-04,67.79537963867188
1998-06-05,69.10655212402344
1998-06-08,69.02944946289062
1998-06-09,69.24152374267578
1998-06-10,68.79805755615234
1998-06-11,67.50611114501953
1998-06-12,68.14247131347656
1998-06-15,66.34923553466797
1998-06-16,67.3711929321289
1998-06-17,68.77875518798828
1998-06-18,68.4702377319336
1998-06-19,68.12716674804688
1998-06-22,68.45597839355469
1998-06-23,69.26846313476562
1998-06-24,70.1969223022461
1998-06-25,70.08084869384766
1998-06-26,70.37100982666016
1998-06-29,70.62247467041016
1998-06-30,70.1388931274414
1998-07-01,70.95132446289062
1998-07-02,71.08671569824219
1998-07-06,71.8023910522461
1998-07-07,71.66700744628906
1998-07-08,72.18927764892578
1998-07-09,71.7056884765625
1998-07-10,72.092529296875
1998-07-13,72.11190032958984
1998-07-14,72.92432403564453
1998-07-15,72.7889175415039
1998-07-16,73.2918472290039
1998-07-17,73.38853454589844
1998-07-20,73.38853454589844
1998-07-21,72.11190032958984
1998-07-22,72.11190032958984
1998-07-23,70.68048095703125
1998-07-24,70.62247467041016
1998-07-27,71.12538146972656
1998-07-28,69.92610931396484
1998-07-29,69.65531158447266
1998-07-30,70.6998062133789
1998-07-31,69.19105529785156
1998-08-03,68.90092468261719
1998-08-04,66.23152923583984
1998-08-05,67.14065551757812
1998-08-06,67.43079376220703
1998-08-07,67.546875
1998-08-10,67.1600112915039
1998-08-11,66.15414428710938
1998-08-12,67.27604675292969
1998-08-13,66.4636459350586
1998-08-14,65.68988037109375
1998-08-17,67.0826416015625
1998-08-18,68.32064819335938
1998-08-19,68.1465072631836
1998-08-20,67.74028778076172
1998-08-21,67.19867706298828
1998-08-24,67.62420654296875
1998-08-25,67.77897644042969
1998-08-26,67.39212036132812
1998-08-27,64.2198486328125
1998-08-28,63.9876823425293
1998-08-31,59.42268371582031
1998-09-01,61.937313079833984
1998-09-02,61.492408752441406
1998-09-03,61.00885009765625
1998-09-04,60.505897521972656
1998-09-08,63.75555419921875
1998-09-09,62.208091735839844
1998-09-10,60.97012710571289
1998-09-11,62.943153381347656
1998-09-14,64.02639770507812
1998-09-15,64.41324615478516
1998-09-16,64.99353790283203
1998-09-17,63.1366081237793
1998-09-18,63.41781997680664
1998-09-21,63.37900924682617
1998-09-22,63.903106689453125
1998-09-23,66.4654312133789
1998-09-24,64.83490753173828
1998-09-25,64.7572250366211
1998-09-28,65.33960723876953
1998-09-29,65.18428039550781
1998-09-30,63.20432662963867
1998-10-01,61.37964630126953
