Price,Close
Ticker,TLT
Date,
2002-07-30,36.38765335083008
2002-07-31,36.838497161865234
2002-08-01,37.04825973510742
2002-08-02,37.42766571044922
2002-08-05,37.59284210205078
2002-08-06,37.271461486816406
2002-08-07,37.360713958740234
2002-08-08,37.360713958740234
2002-08-09,37.88747024536133
2002-08-12,38.119544982910156
2002-08-13,38.58822250366211
2002-08-14,38.735511779785156
2002-08-15,38.396270751953125
2002-08-16,37.96775436401367
2002-08-19,38.08381271362305
2002-08-20,38.50788116455078
2002-08-21,38.30253601074219
2002-08-22,37.96775436401367
2002-08-23,38.342735290527344
2002-08-26,38.378448486328125
2002-08-27,38.13741683959961
2002-08-28,38.32933807373047
2002-08-29,38.63734817504883
2002-08-30,38.86943435668945
2002-09-03,39.46699905395508
2002-09-04,39.458045959472656
2002-09-05,39.67325210571289
2002-09-06,39.207008361816406
2002-09-09,39.148704528808594
2002-09-10,39.337032318115234
2002-09-11,39.130767822265625
2002-09-12,39.43561553955078
2002-09-13,39.79875564575195
2002-09-16,39.86598587036133
2002-09-17,39.94217300415039
2002-09-18,39.951133728027344
2002-09-19,40.22010040283203
2002-09-20,40.0318489074707
2002-09-23,40.39046096801758
2002-09-24,40.65046691894531
2002-09-25,40.157344818115234
2002-09-26,40.063209533691406
2002-09-27,40.36357879638672
2002-09-30,40.52497482299805
2002-10-01,40.02229690551758
2002-10-02,40.251808166503906
2002-10-03,40.15279769897461
2002-10-04,40.27882385253906
2002-10-07,40.3463134765625
2002-10-08,40.35980224609375
2002-10-09,40.56679153442383
2002-10-10,40.24732208251953
2002-10-11,39.77033233642578
2002-10-14,39.71184158325195
2002-10-15,38.771331787109375
2002-10-16,38.78933334350586
2002-10-17,38.316837310791016
2002-10-18,38.41585159301758
2002-10-21,38.0423698425293
2002-10-22,37.93434143066406
2002-10-23,37.94789123535156
2002-10-24,38.280845642089844
2002-10-25,38.42033004760742
2002-10-28,38.36636734008789
2002-10-29,38.86585235595703
2002-10-30,38.852359771728516
2002-10-31,39.0278205871582
2002-11-01,38.8646240234375
2002-11-04,38.69289779663086
2002-11-05,38.54375076293945
2002-11-06,38.6973876953125
2002-11-07,39.65571975708008
2002-11-08,39.97660827636719
2002-11-11,40.19357681274414
2002-11-12,39.96305847167969
2002-11-13,40.048954010009766
2002-11-14,39.217201232910156
2002-11-15,39.375457763671875
2002-11-18,39.55168533325195
